Title,Author,Rating,Description,Link
Programming Fundamentals,Samyan Qayyum Wahla,-1 -1,"Programming is an increasingly important skill, whether you aspire to a career in software...",http://eduko.spikotech.com/Course/Details/2077
Artificial Intelligence (CE Lab),Sahar Waqar,Fall 2024,...,http://eduko.spikotech.com/Course/Details/2076
"Artificial Intelligence Lab (A, B,D)",Numan Shafi,Fall 2024,...,http://eduko.spikotech.com/Course/Details/2075
Software Engineering for AI,Samyan Qayyum Wahla,Fall 2024,The course takes a software engineering perspective on building software systems with a...,http://eduko.spikotech.com/Course/Details/2072
Artificial Intelligence (Lab),Samyan Qayyum Wahla,Fall 2024,"This course introduces representations, techniques, and architectures used to build applied...",http://eduko.spikotech.com/Course/Details/2071
Artificial Intelligence,Samyan Qayyum Wahla,Fall 2024,"This course introduces representations, techniques, and architectures used to build applied...",http://eduko.spikotech.com/Course/Details/2070
Signal & Systems,Sahar Waqar,Fall 2024,The objective of this course is to develop the understanding of the basic ideas of the Signals &...,http://eduko.spikotech.com/Course/Details/2069
Applications of ICT,Sahar Waqar,Fall 2024,This course is designed to provide an introduction to the key concepts and technologies used in...,http://eduko.spikotech.com/Course/Details/2068
Data Structures and Algorithms,Nazeef Ul Haq,Fall 2024,The course introduces the theory of complexity and abstract data structures as basic building...,http://eduko.spikotech.com/Course/Details/2073
Data Structures and Algorithms(Lab),Nazeef Ul Haq,Fall 2024,The course introduces the theory of complexity and abstract data structures as basic building...,http://eduko.spikotech.com/Course/Details/2074
Final Year Project (2021),Numan Shafi,Spring 2024,...,http://eduko.spikotech.com/Course/Details/2067
